,ID,FULL TEXT,CREATED AT
0,1413167460992225283,"@fmenofbraavos ඔව්... දැනගෙනත් ඇල්ලුවේ නැති හැටි නේද..?🥴

ඔච්චර දැනුම් දීලත් අනුරලා..රනිල්ලා දන්නැති ගානට හිටියා තම්බි ගහලා යනකං ගෝඨාට තැනක් අරං දෙන්ඩ..අප්පගේ දේශපාලනේ..😁🥴",2021-07-08 16:05:52
1,1412410653629952001,@FriendYourz යේ නල්ල තම්බි,2021-07-06 13:58:35
2,1412286489191399426,"@Shenali_WithU ඔයා තාම grade 5 ද
ඌරො කිව්වනම් තම්බි න්ට රිදනවා කියල ද තාමත් හිතන් ඉන්නෙ",2021-07-06 05:45:12
3,1411379850011684866,මෙන්න මෙන්න තම්බි වඳ ඔක්සිජන් දෙනෝ #lka #lk #srilanka #slnews #lpl #covid19sl #covid19lk https://t.co/8aAa25IUCp,2021-07-03 17:42:33
0,1414130856025726986,විමල්ගේ උදයගේ කෑලි ගලවා තමනට ඇමති ධුර අනවශ්‍ය බව ශ‍්‍රීලනිපය කියයි.. https://t.co/b0ir4aBGmE https://t.co/67cqOh3xIJ,2021-07-11 07:54:04
1,1413797912149069825,බි ත් ත ර රො ටී 😋,2021-07-10 09:51:04
2,1413792053859913731,"ගිලන්රථ මගින් ශ්‍රී ලංකා ක්‍රීඩකියන් වෙනත් හෝටලයකට. ඉන්දු - ශ්‍රී ලංකා ත... 
@SlSports5 @OfficialSLC 

https://t.co/tlC0M1gdFH via @YouTube",2021-07-10 09:27:47
3,1413764362049769472,"#SriHanda: ලංකා ඉතිහාසයේ එක් දිනක් තුළ මුද්‍රණය කරන ලද විශාලතම මුදල් ප්‍රමාණය  ජුනි 28 මුද්‍රණය කරයි

#SriLanka #lka
 https://t.co/Zku0QzKXU3",2021-07-10 07:37:45
4,1413475333827932161,"තිරිඟු පිටි මිල වැඩි කරන තීන්දුව හකුළා ගනී….! බේකරි නිෂ්පාදන මිල ඉහළ යාම නවතී….!
https://t.co/DAawFsNoBz https://t.co/lZAeKjLLAE",2021-07-09 12:29:15
5,1413093813631873028,"Another great Speech Sir, @ShanakiyanR 

මට පරයා කියනවා මේකද හමුදාවේ ඉගැන්නුවේ ලැජ්ජයි,  අධ්‍යාපනයටත් හමුදාව අත ත... https://t.co/lNOe1GKnyK via @YouTube",2021-07-08 11:13:13
6,1412844390079340545,ජනාධිපති හා අගමැති අද එම තනතුරු දරන්නේ බැසිල් රාජපක්ෂ නිසා..- උදයංග https://t.co/aJ2897XThh https://t.co/cvorQxh3g7,2021-07-07 18:42:06
7,1412636645124235267,@kattasambal අ.ත.හො.ක !,2021-07-07 04:56:36
8,1412283673185976322,@unknown_lankan අ.ත.හො.ක 😆,2021-07-06 05:34:01
9,1412266135958007809,"🐳මේ ඉන්නෙ whale shark කියන මත්ස්‍යයන් විශේෂය. මොවුන් ජීවත් වන්නෙ සෙල්සියස් අංශක 21 කට වඩා අඩු නිවර්ථන මුහුදු සීමාවල. 

🐳සාමාන්‍යයෙන් දිගින් අඩි 5-10 ත අතර අගයක් ගන්නවා.දැනට හමුවෙලා තියෙන දිගම whale shark මත්ස්‍යයා අඩි 65 ක්,දිගින් යුක්ත වෙලා තියෙනවා.⬇️ https://t.co/dOyfbwSKLL",2021-07-06 04:24:20
10,1412097906056773635,"@InsectEmperor @bts_bighit @JAMJAMPICS @parkjiminpics Who is impostor here? ඐ, එ, ඒ, ඓ, ඔ, ඕ, ඖ, ක, ඛ, ග, ඝ, ඞ, ඟ. ච, ඡ, ජ, ඣ, ඤ, ඥ, ඦ, ට, ඨ, ඩ, ඪ, ණ, ඬ, ත, ථ, ද. ධ, න, ඳ, ප, ඵ, බ, භ, ම, ඹ, ය Who is impostor here? ඐ, එ, ඒ, ඓ, ඔ, ඕ, ඖ, ක, ඛ, ග, ඝ, ඞ, ඟ. ච, ඡ, ජ, ඣ, ඤ, ඥ, ඦ, ට, ඨ, ඩ, ඪ, ණ, ඬ, ත, ථ, ද. ධ, න, ඳ, ප, ඵ, බ, භ, ම, ඹ, ය Who",2021-07-05 17:15:50
11,1411981064176873475,"@pentimento_117 🙂

අ. ත. හො. ක.",2021-07-05 09:31:33
12,1411437521146417160,"@GoofyOliver @7LasagnaLay @avesoe Who is impostor here? ඐ, එ, ඒ, ඓ, ඔ, ඕ, ඖ, ක, ඛ, ග, ඝ, ඞ, ඟ. ච, ඡ, ජ, ඣ, ඤ, ඥ, ඦ, ට, ඨ, ඩ, ඪ, ණ, ඬ, ත, ථ, ද. ධ, න, ඳ, ප, ඵ, බ, භ, ම, ඹ, ය Who is impostor here? ඐ, එ, ඒ, ඓ, ඔ, ඕ, ඖ, ක, ඛ, ග, ඝ, ඞ, ඟ. ච, ඡ, ජ, ඣ, ඤ, ඥ, ඦ, ට, ඨ, ඩ, ඪ, ණ, ඬ, ත, ථ, ද. ධ, න, ඳ, ප, ඵ, බ, භ, ම, ඹ, ය",2021-07-03 21:31:42
13,1411316562187878402,lanka C news | ත‍්‍රස්තවාදය වැලකිමේ පනත ගැන තීරණයක් ගන්න සූදානම්..- ශ‍්‍රී ලංකා රජය යුරෝපයට දන්වයි.. https://t.co/P1DCcNiKUp,2021-07-03 13:31:04
14,1411241809586569218,"@unknown_lankan ඔ.හ.හො.නැ.
ම.ත.😶",2021-07-03 08:34:01
